learning_rate,hidden_dim,batch_size,test_accuracy_gcn,test_precision_gcn,test_recall_gcn,test_accuracy_gin,test_precision_gin,test_recall_gin
0.001,64,8,0.9038461538461539,0.9032258064516129,0.9333333333333333,0.6923076923076923,0.7058823529411765,0.8
0.001,64,16,0.8653846153846154,0.8484848484848485,0.9333333333333333,0.8461538461538461,0.9583333333333334,0.7666666666666667
0.001,64,24,0.8846153846153846,0.875,0.9333333333333333,0.8846153846153846,0.9,0.9
0.001,64,32,0.8461538461538461,0.8235294117647058,0.9333333333333333,0.9038461538461539,0.9629629629629629,0.8666666666666667
0.001,96,8,0.8846153846153846,0.875,0.9333333333333333,0.7307692307692307,0.7666666666666667,0.7666666666666667
0.001,96,16,0.9038461538461539,0.9310344827586207,0.9,0.8076923076923077,0.7941176470588235,0.9
0.001,96,24,0.8461538461538461,0.84375,0.9,0.8269230769230769,0.8620689655172413,0.8333333333333334
0.001,96,32,0.8653846153846154,0.8484848484848485,0.9333333333333333,0.7115384615384616,0.6744186046511628,0.9666666666666667
0.001,128,8,0.8461538461538461,0.84375,0.9,0.8269230769230769,0.8888888888888888,0.8
0.001,128,16,0.8846153846153846,0.875,0.9333333333333333,0.46153846153846156,0.625,0.16666666666666666
0.001,128,24,0.8653846153846154,0.8484848484848485,0.9333333333333333,0.5192307692307693,0.5675675675675675,0.7
0.001,128,32,0.9038461538461539,0.8787878787878788,0.9666666666666667,0.5769230769230769,0.6818181818181818,0.5
0.001,160,8,0.8653846153846154,0.8484848484848485,0.9333333333333333,0.7692307692307693,0.7647058823529411,0.8666666666666667
0.001,160,16,0.8846153846153846,0.875,0.9333333333333333,0.7692307692307693,0.8461538461538461,0.7333333333333333
0.001,160,24,0.8653846153846154,0.8484848484848485,0.9333333333333333,0.8269230769230769,0.8181818181818182,0.9
0.001,160,32,0.8461538461538461,0.8235294117647058,0.9333333333333333,0.75,0.8148148148148148,0.7333333333333333
0.0008,64,8,0.8846153846153846,0.875,0.9333333333333333,0.8269230769230769,0.8181818181818182,0.9
0.0008,64,16,0.8653846153846154,0.8484848484848485,0.9333333333333333,0.8461538461538461,0.8666666666666667,0.8666666666666667
0.0008,64,24,0.8461538461538461,0.8235294117647058,0.9333333333333333,0.8269230769230769,0.92,0.7666666666666667
0.0008,64,32,0.8653846153846154,0.8484848484848485,0.9333333333333333,0.8269230769230769,0.8387096774193549,0.8666666666666667
0.0008,96,8,0.8846153846153846,0.8529411764705882,0.9666666666666667,0.7307692307692307,0.7222222222222222,0.8666666666666667
0.0008,96,16,0.8461538461538461,0.9230769230769231,0.8,0.6538461538461539,0.8,0.5333333333333333
0.0008,96,24,0.8846153846153846,0.9,0.9,0.8076923076923077,0.8333333333333334,0.8333333333333334
0.0008,96,32,0.8846153846153846,0.9,0.9,0.8461538461538461,0.84375,0.9
0.0008,128,8,0.8846153846153846,0.9,0.9,0.8653846153846154,0.896551724137931,0.8666666666666667
0.0008,128,16,0.8653846153846154,0.8484848484848485,0.9333333333333333,0.7884615384615384,0.8518518518518519,0.7666666666666667
0.0008,128,24,0.8846153846153846,0.875,0.9333333333333333,0.8461538461538461,0.9230769230769231,0.8
0.0008,128,32,0.9038461538461539,0.9032258064516129,0.9333333333333333,0.8269230769230769,0.8888888888888888,0.8
0.0008,160,8,0.8269230769230769,0.7837837837837838,0.9666666666666667,0.8461538461538461,0.8055555555555556,0.9666666666666667
0.0008,160,16,0.8846153846153846,0.875,0.9333333333333333,0.8846153846153846,0.9,0.9
0.0008,160,24,0.8461538461538461,0.8235294117647058,0.9333333333333333,0.7692307692307693,0.8,0.8
0.0008,160,32,0.8461538461538461,0.8235294117647058,0.9333333333333333,0.8076923076923077,0.7941176470588235,0.9
0.0006,64,8,0.8846153846153846,0.875,0.9333333333333333,0.8269230769230769,0.92,0.7666666666666667
0.0006,64,16,0.8461538461538461,0.8235294117647058,0.9333333333333333,0.8653846153846154,0.8709677419354839,0.9
0.0006,64,24,0.8653846153846154,0.8484848484848485,0.9333333333333333,0.8461538461538461,0.8666666666666667,0.8666666666666667
0.0006,64,32,0.8461538461538461,0.9230769230769231,0.8,0.7307692307692307,0.6818181818181818,1.0
0.0006,96,8,0.8846153846153846,0.8529411764705882,0.9666666666666667,0.8653846153846154,0.8709677419354839,0.9
0.0006,96,16,0.8653846153846154,0.8285714285714286,0.9666666666666667,0.7115384615384616,0.8260869565217391,0.6333333333333333
0.0006,96,24,0.8846153846153846,0.875,0.9333333333333333,0.8461538461538461,0.9583333333333334,0.7666666666666667
0.0006,96,32,0.8653846153846154,0.8484848484848485,0.9333333333333333,0.75,0.7741935483870968,0.8
0.0006,128,8,0.8653846153846154,0.8709677419354839,0.9,0.8461538461538461,0.84375,0.9
0.0006,128,16,0.8653846153846154,0.8484848484848485,0.9333333333333333,0.8653846153846154,0.896551724137931,0.8666666666666667
0.0006,128,24,0.9038461538461539,0.9310344827586207,0.9,0.6538461538461539,0.6764705882352942,0.7666666666666667
0.0006,128,32,0.8461538461538461,0.9230769230769231,0.8,0.7884615384615384,0.8275862068965517,0.8
